id,name,description,type,use_type,duration,equip_slot,hp,str,def,mag_off,mag_def,speed,geology,botany,alchemy,aerobics,acc_slot,granted_ability_id,
0,Empty Slot,Nothing here,3,0,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,
1,Cracked VHS,Labeled 'Highland High 94' in black marker,0,0,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,
2,The Tower Card,A holographic tarot card... spooky,1,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,-1,
3,Rusty Tab,From a soda can discontinued in the 80s.,2,0,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,
4,Lapis Potion,A deep blue potion.,6,2,60,-1,0,0,0,0,0,0,0,0,100,-1,0,,
5,Iron Sword,A basic iron sword.,5,0,0.0,0,0,25,1,0,0,0,0,0,0,1,0,0,-1
6,Flora Field Guide,A worn paperback on local flora.,1,0,0.0,1,0,0,0,0,1,0,0,25,2,0,0,-1,
7,Running Shoes,Lightweight sneakers for fast strides.,5,0,0.0,1,0,0,0,0,0,50,0,0,0,100,0,-1,
8,Alchemist Flask,A reinforced glass vial for brewing.,1,0,0.0,1,0,0,0,2,0,0,0,0,5,0,0,102,
9,Geology Handbook,Belonged to Rusty's father. Smells like home!,1,0,0.0,1,15,0,5,0,0,0,100,0,10,0,0,-1,
10,Rose Potion,Simple curative. Tastes like turkish delight!,6,1,0.0,-1,30,0,0,0,0,0,0,0,0,0,0,-1,
11,Desert Brew,Imported watered down cactus potion,6,2,60.0,-1,0,10,10,0,0,0,0,0,10,0,0,-1,
12,Classical Guitar,Rusty's moms guitar. This thing can't break!,5,0,0.0,0,25,5,25,10,30,20,20,4,6,5,0,-1,
13,Dad's scarf,Rusty's dads scarf,1,0,0.0,1,100,0,0,0,0,20,0,0,0,30,1,-1,
14,Simple Bat,Smells like summer,5,0,0.0,0,0,10,10,0,0,50,0,10,0,60,0,-1,
15,Hermes Elixir,A sample size of a luxurious imported drink,6,2,30.0,-1,0,0,0,0,0,100,0,0,0,200,0,-1,
16,Combat Quarterly #17,A rare magazine about combat. Read to learn how to equip anothr accespory!,6,3,0.0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,
17,Three of Wands,The start of a new journey,1,0,0.0,2,10,2,0,6,3,0,0,0,0,0,0,-1,
18,Three of Cups,A nice party,1,0,0.0,2,10,2,0,6,3,0,0,0,0,0,0,-1,
